Sample_id,Plot_id,Site_id,Survey_Date,Treatment,Subplot,Patch,PCT_Number,PCT_Name,Esstablishment,Dbh_cm,Tree sp.,dist_Tree_m,Foliage_Cover_<0.5,Logs_<0.5,Litter_<0.5,Compost,Cryptogam,Rock,Bare soil,Shrub_>0.5,Tree>0.5,Other,
94AT,94,Bulga,16/05/2019,Reference,A,T,3431,Central Hunter Ironbark Grassy Woodland,NA,40,E.moluccana,,0,0,100,0,0,0,0,0,60,0,
94BO,94,Bulga,16/05/2019,Reference,B,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,3,30,0,40,0,20,0,10,0,0,0,
94BT,94,Bulga,16/05/2019,Reference,B,T,3431,Central Hunter Ironbark Grassy Woodland,NA,6,E.moluccana,,7,0,53,0,0,0,40,0,70,0,
94CO,94,Bulga,16/05/2019,Reference,C,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,3,1,0,99,0,0,0,0,0,50,0,
94CT,94,Bulga,16/05/2019,Reference,C,T,3431,Central Hunter Ironbark Grassy Woodland,NA,49,E.moluccana,,0,0,100,0,0,0,0,0,50,0,
94DO,94,Bulga,16/05/2019,Reference,D,O,3431,Central Hunter Ironbark Grassy Woodland,NA,,,4,20,0,10,0,0,0,70,0,5,0,
94DT,94,Bulga,16/05/2019,Reference,D,T,3431,Central Hunter Ironbark Grassy Woodland,NA,60,E.moluccana,,0,0,50,0,0,0,50,0,40,0,
12AO,12,Mangoola Mine,7/03/2019,Rehabilitated,A,O,3431,Central Hunter Ironbark Grassy Woodland,2011,,,2,2,0,5,0,0,0,93,0,0,0,
12AT,12,Mangoola Mine,7/03/2019,Rehabilitated,A,T,3431,Central Hunter Ironbark Grassy Woodland,2011,6,A.spectabilis,,0,0,75,0,0,0,25,40,0,0,
12BO,12,Mangoola Mine,7/03/2019,Rehabilitated,B,O,3431,Central Hunter Ironbark Grassy Woodland,2011,,,2,5,0,10,0,0,83,2,0,0,0,
12BT,12,Mangoola Mine,7/03/2019,Rehabilitated,B,T,3431,Central Hunter Ironbark Grassy Woodland,2011,6,E.dawsonii,,0,0,88,0,0,2,10,0,60,0,
12CO,12,Mangoola Mine,7/03/2019,Rehabilitated,C,O,3431,Central Hunter Ironbark Grassy Woodland,2011,,,3,1,0,1,0,0,0,98,0,0,0,
12CT,12,Mangoola Mine,7/03/2019,Rehabilitated,C,T,3431,Central Hunter Ironbark Grassy Woodland,2011,5,A.spectabilis,,0,0,50,0,0,0,50,40,1,0,
